交易 #,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累積損益 TWD,累積損益 %
4874,多頭進場,2025-01-22 21:15,L_Cmd,23806,1,1190300,-1640,-0.14,0,0.00,-1620,-0.14,1902890,475.72
4875,多頭出場,2025-02-03 08:45,L_Exit,22714,1,1189500,-53840,-4.53,2580,0.22,-53820,-4.52,1849050,462.26
4875,多頭進場,2025-01-23 00:40,L_Cmd,23790,1,1189500,-53840,-4.53,2580,0.22,-53820,-4.52,1849050,462.26
4876,空頭出場,2025-02-03 16:15,S_Exit,22681,1,1129750,-4340,-0.38,30,0.00,-4320,-0.38,1844710,461.18
4876,空頭進場,2025-02-03 13:45,S_Cmd,22595,1,1129750,-4340,-0.38,30,0.00,-4320,-0.38,1844710,461.18
4877,空頭出場,2025-02-03 22:35,S_Exit,22668,1,1131200,-2240,-0.20,1680,0.15,-2220,-0.20,1842470,460.62
4877,空頭進場,2025-02-03 22:30,S_Cmd,22624,1,1131200,-2240,-0.20,1680,0.15,-2220,-0.20,1842470,460.62
4878,空頭出場,2025-02-04 08:45,S_Exit_Add,22917,1,1141600,-4290,-0.38,2080,0.18,-4270,-0.37,1838160,459.54
4878,空頭進場,2025-02-04 04:45,S_Cmd,22832,1,1141600,-4290,-0.38,2080,0.18,-4270,-0.37,1838160,459.54
4879,空頭出場,2025-02-04 08:45,S_Exit,22917,1,1140600,-5290,-0.46,1080,0.09,-5270,-0.46,1832890,458.22
4879,空頭進場,2025-02-04 04:50,S_Add,22812,1,1140600,-5290,-0.46,1080,0.09,-5270,-0.46,1832890,458.22
4880,空頭出場,2025-02-04 08:50,Trend Rev,22904,1,1145850,610,0.05,1230,0.11,-1520,-0.13,1833500,458.38
4880,空頭進場,2025-02-04 08:45,S_Add,22917,1,1145850,610,0.05,1230,0.11,-1520,-0.13,1833500,458.38
4881,空頭出場,2025-02-04 12:20,Trend Rev,22838,1,1141100,-840,-0.07,680,0.06,-1220,-0.11,1832660,458.17
4881,空頭進場,2025-02-04 11:45,S_Cmd,22822,1,1141100,-840,-0.07,680,0.06,-1220,-0.11,1832660,458.17
4882,空頭出場,2025-02-04 13:40,S_Exit,22830,1,1138000,-3540,-0.31,2530,0.22,-3520,-0.31,1829100,457.28
4882,空頭進場,2025-02-04 13:10,S_Cmd,22760,1,1138000,-3540,-0.31,2530,0.22,-3520,-0.31,1829100,457.28
4883,空頭出場,2025-02-04 15:00,S_Exit_Add,22859,1,1136250,-6740,-0.59,0,0.00,-6720,-0.59,1822380,455.60
4883,空頭進場,2025-02-04 13:25,S_Add,22725,1,1136250,-6740,-0.59,0,0.00,-6720,-0.59,1822380,455.60
4884,多頭出場,2025-02-05 23:35,L_Exit,23250,1,1159100,3360,0.29,3430,0.30,-1370,-0.12,1825680,456.42
4884,多頭進場,2025-02-05 22:20,L_Cmd,23182,1,1159100,3360,0.29,3430,0.30,-1370,-0.12,1825680,456.42
