交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
92,空頭出場,2022-03-07 09:05,S_Exit,17249,1,868600,6110,0.70,6180,0.71,-670,-0.08,35100,8.77
92,空頭進場,2022-03-07 08:50,S_Cmd,17372,1,868600,6110,0.70,6180,0.71,-670,-0.08,35100,8.77
93,空頭出場,2022-03-07 09:10,Vol Bot,17251,1,865300,2710,0.31,2880,0.33,-270,-0.03,37830,9.46
93,空頭進場,2022-03-07 09:05,S_Add,17306,1,865300,2710,0.31,2880,0.33,-270,-0.03,37830,9.46
94,空頭出場,2022-03-07 09:15,Vol Bot,17239,1,862550,560,0.06,780,0.09,-1370,-0.16,38390,9.60
94,空頭進場,2022-03-07 09:10,S_Add,17251,1,862550,560,0.06,780,0.09,-1370,-0.16,38390,9.60
95,空頭出場,2022-03-07 13:35,Vol Bot,17086,1,858650,4310,0.50,5580,0.65,-770,-0.09,42640,10.66
95,空頭進場,2022-03-07 09:40,S_Cmd,17173,1,858650,4310,0.50,5580,0.65,-770,-0.09,42640,10.66
96,空頭出場,2022-03-07 13:35,Vol Bot,17086,1,855150,810,0.09,2080,0.24,-4270,-0.50,43470,10.87
96,空頭進場,2022-03-07 10:00,S_Add,17103,1,855150,810,0.09,2080,0.24,-4270,-0.50,43470,10.87
97,空頭出場,2022-03-07 13:35,Vol Bot,17086,1,854200,-140,-0.02,1130,0.13,-5220,-0.61,43350,10.84
97,空頭進場,2022-03-07 10:05,S_Add,17084,1,854200,-140,-0.02,1130,0.13,-5220,-0.61,43350,10.84
98,空頭出場,2022-03-07 15:00,S_Exit,17012,1,853600,2960,0.35,3030,0.35,-5820,-0.68,46330,11.58
98,空頭進場,2022-03-07 10:15,S_G_進,17072,1,853600,2960,0.35,3030,0.35,-5820,-0.68,46330,11.58
99,空頭出場,2022-03-07 23:25,S_Exit,17013,1,855100,4410,0.52,4530,0.53,-1570,-0.18,50700,12.68
99,空頭進場,2022-03-07 22:50,S_Cmd,17102,1,855100,4410,0.52,4530,0.53,-1570,-0.18,50700,12.68
100,空頭出場,2022-03-08 00:35,S_Exit_Add,16972,1,852700,4060,0.48,4130,0.48,-420,-0.05,54740,13.69
100,空頭進場,2022-03-07 23:15,S_Add,17054,1,852700,4060,0.48,4130,0.48,-420,-0.05,54740,13.69
101,空頭出場,2022-03-08 00:35,S_Exit_G,16972,1,852050,3410,0.40,3480,0.41,-770,-0.09,58170,14.54
101,空頭進場,2022-03-07 23:20,S_Add,17041,1,852050,3410,0.40,3480,0.41,-770,-0.09,58170,14.54
102,空頭出場,2022-03-08 00:35,S_Exit_G,16972,1,850650,2010,0.24,2080,0.24,-1970,-0.23,60200,15.05
102,空頭進場,2022-03-07 23:25,S_G_進,17013,1,850650,2010,0.24,2080,0.24,-1970,-0.23,60200,15.05
103,空頭出場,2022-03-08 00:40,S_Exit_Add,16957,1,850550,2660,0.31,2730,0.32,-2070,-0.24,62860,15.72
103,空頭進場,2022-03-07 23:30,S_G_進,17011,1,850550,2660,0.31,2730,0.32,-2070,-0.24,62860,15.72
104,空頭出場,2022-03-08 01:30,S_Exit_Add,16894,1,848650,3910,0.46,3980,0.47,-2270,-0.27,66790,16.70
104,空頭進場,2022-03-08 00:40,S_Add,16973,1,848650,3910,0.46,3980,0.47,-2270,-0.27,66790,16.70
