交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
52,空頭進場,2022-02-22 10:45,S_Add,17849,1,892450,3710,0.42,3780,0.42,-370,-0.04,6530,1.63
53,空頭出場,2022-02-22 13:20,S_Exit_Add,17908,1,891350,-4090,-0.46,2680,0.30,-4070,-0.46,2440,0.61
53,空頭進場,2022-02-22 10:55,S_G_進,17827,1,891350,-4090,-0.46,2680,0.30,-4070,-0.46,2440,0.61
54,空頭出場,2022-02-22 13:25,S_Exit_Add,17919,1,889450,-6540,-0.74,780,0.09,-6520,-0.73,-4080,-1.02
54,空頭進場,2022-02-22 11:05,S_Add,17789,1,889450,-6540,-0.74,780,0.09,-6520,-0.73,-4080,-1.02
55,空頭出場,2022-02-22 18:15,Trend Rev,17932,1,888900,-7740,-0.87,180,0.02,-8720,-0.98,-11800,-2.95
55,空頭進場,2022-02-22 11:10,S_Add,17778,1,888900,-7740,-0.87,180,0.02,-8720,-0.98,-11800,-2.95
56,空頭出場,2022-02-22 22:40,S_Exit,17952,1,896000,-1640,-0.18,780,0.09,-1620,-0.18,-13440,-3.36
56,空頭進場,2022-02-22 22:35,S_Cmd,17920,1,896000,-1640,-0.18,780,0.09,-1620,-0.18,-13440,-3.36
57,空頭出場,2022-02-23 03:25,S_Exit,17884,1,891800,-2440,-0.27,1480,0.17,-2420,-0.27,-15900,-3.97
57,空頭進場,2022-02-23 03:05,S_Cmd,17836,1,891800,-2440,-0.27,1480,0.17,-2420,-0.27,-15900,-3.97
58,空頭出場,2022-02-23 03:30,S_Exit_Add,17904,1,890750,-4490,-0.50,430,0.05,-4470,-0.50,-20370,-5.09
